Partner_Name,Model_Name,Model_ID,Tier,Frequency,Period,Year,KPI,Value,Threshold,Anomaly_Flag,Uploaded_On,Model_Info,Report_Summary
FinCorp,CrossSell_Z,105,Tier 1,Quarterly,Q4,2022,KS,0.533,0.5,False,2022-11-21,targets multiple product conversion scoring,CrossSell_Z targets multiple product conversion scoring KS of 0.533 vs threshold 0.5
FinCorp,Retention_C,106,Tier 3,Quarterly,Q2,2022,PSI,0.224,0.25,False,2022-05-25,estimates customer retention likelihood,Retention_C estimates customer retention likelihood PSI of 0.224 vs threshold 0.25
FinCorp,Retention_C,106,Tier 3,Quarterly,Q2,2023,PSI,0.26,0.25,True,2023-05-18,estimates customer retention likelihood,Retention_C estimates customer retention likelihood PSI of 0.260 vs threshold 0.25
BankA,Fraud_Detection_A,202,Tier 2,Quarterly,Q4,2022,PSI,0.209,0.25,False,2022-12-04,detects fraudulent transactions in real-time,Fraud_Detection_A detects fraudulent transactions in real-time PSI of 0.209 vs threshold 0.25
FinCorp,Retention_C,106,Tier 3,Quarterly,Q4,2021,KS,0.466,0.5,True,2021-11-24,estimates customer retention likelihood,Retention_C estimates customer retention likelihood KS of 0.466 vs threshold 0.5
FinTechZ,Churn_Pred_B,303,Tier 2,Quarterly,Q4,2023,KS,0.463,0.5,True,2023-10-30,predicts churn probability for digital services,Churn_Pred_B predicts churn probability for digital services KS of 0.463 vs threshold 0.5
FinTechZ,Churn_Pred_B,303,Tier 2,Quarterly,Q4,2021,KS,0.481,0.5,True,2021-10-05,predicts churn probability for digital services,Churn_Pred_B predicts churn probability for digital services KS of 0.481 vs threshold 0.5
FinCorp,Retention_C,106,Tier 3,Quarterly,Q3,2021,Gini,0.626,0.6,False,2021-07-17,estimates customer retention likelihood,Retention_C estimates customer retention likelihood Gini of 0.626 vs threshold 0.6
FinTechZ,Churn_Pred_B,303,Tier 2,Quarterly,Q1,2021,KS,0.456,0.5,True,2021-01-19,predicts churn probability for digital services,Churn_Pred_B predicts churn probability for digital services KS of 0.456 vs threshold 0.5
FinTechZ,Churn_Pred_B,303,Tier 2,Quarterly,Q2,2022,PDO,0.667,0.7,True,2022-06-12,predicts churn probability for digital services,Churn_Pred_B predicts churn probability for digital services PDO of 0.667 vs threshold 0.7
BankA,Fraud_Detection_A,202,Tier 2,Quarterly,Q1,2023,CSI,0.878,0.88,False,2023-02-14,detects fraudulent transactions in real-time,Fraud_Detection_A detects fraudulent transactions in real-time CSI of 0.878 vs threshold 0.88
BankA,Risk_Model_X,201,Tier 1,Quarterly,Q3,2023,CSI,0.837,0.88,False,2023-07-09,scores probability of default for credit cards,Risk_Model_X scores probability of default for credit cards CSI of 0.837 vs threshold 0.88
FinTechZ,Propensity_Y,302,Tier 3,Quarterly,Q2,2021,AUC,0.684,0.7,True,2021-06-14,identifies upsell likelihood in digital banking,Propensity_Y identifies upsell likelihood in digital banking AUC of 0.684 vs threshold 0.7
FinTechZ,Propensity_Y,302,Tier 3,Quarterly,Q4,2021,PSI,0.274,0.25,True,2021-12-09,identifies upsell likelihood in digital banking,Propensity_Y identifies upsell likelihood in digital banking PSI of 0.274 vs threshold 0.25
FinCorp,CrossSell_Z,105,Tier 1,Quarterly,Q4,2021,PDO,0.748,0.7,False,2021-11-27,targets multiple product conversion scoring,CrossSell_Z targets multiple product conversion scoring PDO of 0.748 vs threshold 0.7
FinCorp,CrossSell_Z,105,Tier 1,Quarterly,Q4,2021,CSI,0.859,0.88,False,2021-11-07,targets multiple product conversion scoring,CrossSell_Z targets multiple product conversion scoring CSI of 0.859 vs threshold 0.88
FinCorp,Retention_C,106,Tier 3,Quarterly,Q3,2023,KS,0.501,0.5,False,2023-08-09,estimates customer retention likelihood,Retention_C estimates customer retention likelihood KS of 0.501 vs threshold 0.5
