Partner_Name,Model_ID,Model_Name,Tier,KPI,Value,Year,Period,Frequency,Summary,Anomaly_Flag,Uploaded_On,Report_Summary
AlphaBank,101,Credit Risk Model A,Tier 1,PSI,0.7,2024,Y2024,Yearly,High PSI,True,2024-03-06,Logistic regression model for credit scoring. PSI < 0.3 is acceptable.
AlphaBank,101,Credit Risk Model A,Tier 1,KS,0.49,2024,Y2024,Yearly,,False,2024-04-18,Logistic regression model for credit scoring. PSI < 0.3 is acceptable.
AlphaBank,101,Credit Risk Model A,Tier 1,AUC,0.58,2024,Y2024,Yearly,,False,2024-03-27,Logistic regression model for credit scoring. PSI < 0.3 is acceptable.
AlphaBank,202,Loan Approval Model B,Tier 2,PSI,0.58,2024,Y2024,Yearly,High PSI,True,2024-02-05,XGBoost model used for loan approvals. Focus on KS and AUC.
AlphaBank,202,Loan Approval Model B,Tier 2,KS,0.42,2024,Y2024,Yearly,,False,2024-03-20,XGBoost model used for loan approvals. Focus on KS and AUC.
AlphaBank,202,Loan Approval Model B,Tier 2,AUC,0.53,2024,Y2024,Yearly,,False,2024-05-03,XGBoost model used for loan approvals. Focus on KS and AUC.
AlphaBank,303,Customer Churn Model C,Tier 1,PSI,0.39,2024,Q1,Quarterly,,False,2024-04-01,Random Forest model predicting churn. High KS indicates good separation.
AlphaBank,303,Customer Churn Model C,Tier 1,KS,0.64,2024,Q1,Quarterly,,False,2024-03-04,Random Forest model predicting churn. High KS indicates good separation.
AlphaBank,303,Customer Churn Model C,Tier 1,AUC,0.62,2024,Q1,Quarterly,,False,2024-05-05,Random Forest model predicting churn. High KS indicates good separation.
AlphaBank,303,Customer Churn Model C,Tier 1,PSI,0.34,2024,Q2,Quarterly,,False,2024-06-04,Random Forest model predicting churn. High KS indicates good separation.
AlphaBank,303,Customer Churn Model C,Tier 1,KS,0.6,2024,Q2,Quarterly,,False,2024-01-01,Random Forest model predicting churn. High KS indicates good separation.
AlphaBank,303,Customer Churn Model C,Tier 1,AUC,0.3,2024,Q2,Quarterly,High AUC,True,2024-03-18,Random Forest model predicting churn. High KS indicates good separation.
AlphaBank,303,Customer Churn Model C,Tier 1,PSI,0.46,2024,Q3,Quarterly,,False,2024-06-23,Random Forest model predicting churn. High KS indicates good separation.
AlphaBank,303,Customer Churn Model C,Tier 1,KS,0.27,2024,Q3,Quarterly,High KS,True,2024-03-07,Random Forest model predicting churn. High KS indicates good separation.
AlphaBank,303,Customer Churn Model C,Tier 1,AUC,0.43,2024,Q3,Quarterly,,False,2024-06-14,Random Forest model predicting churn. High KS indicates good separation.
AlphaBank,303,Customer Churn Model C,Tier 1,PSI,0.65,2024,Q4,Quarterly,High PSI,True,2024-02-17,Random Forest model predicting churn. High KS indicates good separation.
AlphaBank,303,Customer Churn Model C,Tier 1,KS,0.59,2024,Q4,Quarterly,,False,2024-01-23,Random Forest model predicting churn. High KS indicates good separation.
AlphaBank,303,Customer Churn Model C,Tier 1,AUC,0.42,2024,Q4,Quarterly,,False,2024-02-27,Random Forest model predicting churn. High KS indicates good separation.
AlphaBank,404,Fraud Detection Model D,Tier 3,PSI,0.28,2024,Y2024,Yearly,,False,2024-04-22,"Deep learning model for fraud detection, monitored via PSI."
AlphaBank,404,Fraud Detection Model D,Tier 3,KS,0.32,2024,Y2024,Yearly,High KS,True,2024-02-26,"Deep learning model for fraud detection, monitored via PSI."
AlphaBank,404,Fraud Detection Model D,Tier 3,AUC,0.23,2024,Y2024,Yearly,High AUC,True,2024-04-23,"Deep learning model for fraud detection, monitored via PSI."
