Partner_Name,Model_ID,Model_Name,Tier,KPI,Value,Year,Period,Frequency,Summary,Anomaly_Flag,Uploaded_On,Report_Summary
P1,100,M100,Tier 1,KS,0.61,2024,Q1,Quarterly,Quarterly KS score observed for model M100.,TRUE,04-01-2025 00:00,"M100 is a supervised learning model developed for credit risk scoring. It uses behavioral and demographic data. KPI includes PSI, KS, AUC, F1, Precision."
P1,100,M100,Tier 1,F1,0.73,2024,Q1,Quarterly,,FALSE,04-01-2025 00:00,"M100 is a supervised learning model developed for credit risk scoring. It uses behavioral and demographic data. KPI includes PSI, KS, AUC, F1, Precision."
P1,100,M100,Tier 1,PSI,0.69,2024,Q1,Quarterly,,FALSE,04-01-2025 00:00,"M100 is a supervised learning model developed for credit risk scoring. It uses behavioral and demographic data. KPI includes PSI, KS, AUC, F1, Precision."
P1,100,M100,Tier 1,Precision,0.39,2024,Q1,Quarterly,,FALSE,04-01-2025 00:00,"M100 is a supervised learning model developed for credit risk scoring. It uses behavioral and demographic data. KPI includes PSI, KS, AUC, F1, Precision."
P1,100,M100,Tier 1,PSI,0.27,2024,Q2,Quarterly,,FALSE,13-02-2025 00:00,"M100 is a supervised learning model developed for credit risk scoring. It uses behavioral and demographic data. KPI includes PSI, KS, AUC, F1, Precision."
P1,100,M100,Tier 1,F1,0.62,2024,Q2,Quarterly,Quarterly F1 score observed for model M100.,TRUE,13-02-2025 00:00,"M100 is a supervised learning model developed for credit risk scoring. It uses behavioral and demographic data. KPI includes PSI, KS, AUC, F1, Precision."
P1,100,M100,Tier 1,PSI,0.78,2024,Q3,Quarterly,,FALSE,28-02-2025 00:00,"M100 is a supervised learning model developed for credit risk scoring. It uses behavioral and demographic data. KPI includes PSI, KS, AUC, F1, Precision."
P1,100,M100,Tier 1,F1,0.6,2024,Q3,Quarterly,Quarterly F1 score observed for model M100.,TRUE,28-02-2025 00:00,"M100 is a supervised learning model developed for credit risk scoring. It uses behavioral and demographic data. KPI includes PSI, KS, AUC, F1, Precision."
P1,100,M100,Tier 1,Precision,0.23,2024,Q3,Quarterly,,FALSE,28-02-2025 00:00,"M100 is a supervised learning model developed for credit risk scoring. It uses behavioral and demographic data. KPI includes PSI, KS, AUC, F1, Precision."
P1,100,M100,Tier 1,KS,0.74,2024,Q3,Quarterly,Quarterly KS score observed for model M100.,TRUE,28-02-2025 00:00,"M100 is a supervised learning model developed for credit risk scoring. It uses behavioral and demographic data. KPI includes PSI, KS, AUC, F1, Precision."
P1,100,M100,Tier 1,F1,0.52,2024,Q4,Quarterly,,FALSE,30-01-2025 00:00,"M100 is a supervised learning model developed for credit risk scoring. It uses behavioral and demographic data. KPI includes PSI, KS, AUC, F1, Precision."
P1,100,M100,Tier 1,AUC,0.31,2024,Q4,Quarterly,,FALSE,30-01-2025 00:00,"M100 is a supervised learning model developed for credit risk scoring. It uses behavioral and demographic data. KPI includes PSI, KS, AUC, F1, Precision."
P1,101,M101,Tier 1,PSI,0.31,2024,Q1,Quarterly,,FALSE,31-03-2025 00:00,"M101 is a supervised learning model developed for credit risk scoring. It uses behavioral and demographic data. KPI includes PSI, KS, AUC, F1, Precision."
P1,101,M101,Tier 1,KS,0.39,2024,Q1,Quarterly,,FALSE,31-03-2025 00:00,"M101 is a supervised learning model developed for credit risk scoring. It uses behavioral and demographic data. KPI includes PSI, KS, AUC, F1, Precision."
P1,101,M101,Tier 1,AUC,0.68,2024,Q1,Quarterly,Quarterly AUC score observed for model M101.,TRUE,31-03-2025 00:00,"M101 is a supervised learning model developed for credit risk scoring. It uses behavioral and demographic data. KPI includes PSI, KS, AUC, F1, Precision."
P1,101,M101,Tier 1,Precision,0.36,2024,Q1,Quarterly,Quarterly Precision score observed for model M101.,TRUE,31-03-2025 00:00,"M101 is a supervised learning model developed for credit risk scoring. It uses behavioral and demographic data. KPI includes PSI, KS, AUC, F1, Precision."
P1,101,M101,Tier 1,AUC,0.84,2024,Q2,Quarterly,,FALSE,10-02-2025 00:00,"M101 is a supervised learning model developed for credit risk scoring. It uses behavioral and demographic data. KPI includes PSI, KS, AUC, F1, Precision."
P1,101,M101,Tier 1,PSI,0.35,2024,Q2,Quarterly,,FALSE,10-02-2025 00:00,"M101 is a supervised learning model developed for credit risk scoring. It uses behavioral and demographic data. KPI includes PSI, KS, AUC, F1, Precision."
