Model_ID,Model_Name,Partner_Name,Tier,Frequency,Period,Year,Product,KPI,Value,Threshold,Anomaly_Flag,Uploaded_On,Model_Info,Report_Summary,Model_Status,Production_Date
101,Model_101,LendMate,Tier 1,Yearly,Y1,2023,,CSI,0.061,<= 0.1,FALSE,09-01-2023,Model_101 is used for loan approval.,Model_101 performed above expectation for Y1 2023 with CSI of 0.061 vs threshold <= 0.1.,Active,18-08-2024
101,Model_101,LendMate,Tier 1,Yearly,Y1,2023,,PSI,0.062,<= 0.1,FALSE,09-01-2023,Model_101 is used for loan approval.,Model_101 performed above expectation for Y1 2023 with PSI of 0.062 vs threshold <= 0.1.,Active,18-08-2024
101,Model_101,LendMate,Tier 1,Yearly,Y1,2023,,PDO,0.69,>= 0.6,FALSE,09-01-2023,Model_101 is used for loan approval.,Model_101 performed above expectation for Y1 2023 with PDO of 0.69 vs threshold >= 0.6.,Active,18-08-2024
101,Model_101,LendMate,Tier 1,Yearly,Y1,2023,,Gini,0.589,>= 0.4,FALSE,09-01-2023,Model_101 is used for loan approval.,Model_101 performed above expectation for Y1 2023 with Gini of 0.589 vs threshold >= 0.4.,Active,18-08-2024
101,Model_101,LendMate,Tier 1,Yearly,Y1,2024,,CSI,0.072,<= 0.1,FALSE,10-01-2024,Model_101 is used for loan approval.,Model_101 performed above expectation for Y1 2024 with CSI of 0.072 vs threshold <= 0.1.,Active,18-08-2024
101,Model_101,LendMate,Tier 1,Yearly,Y1,2024,,PSI,0.081,<= 0.1,FALSE,10-01-2024,Model_101 is used for loan approval.,Model_101 performed above expectation for Y1 2024 with PSI of 0.081 vs threshold <= 0.1.,Active,18-08-2024
101,Model_101,LendMate,Tier 1,Yearly,Y1,2024,,PDO,0.672,>= 0.6,FALSE,10-01-2024,Model_101 is used for loan approval.,Model_101 performed above expectation for Y1 2024 with PDO of 0.672 vs threshold >= 0.6.,Active,18-08-2024
101,Model_101,LendMate,Tier 1,Yearly,Y1,2024,,Gini,0.414,>= 0.4,FALSE,10-01-2024,Model_101 is used for loan approval.,Model_101 performed above expectation for Y1 2024 with Gini of 0.414 vs threshold >= 0.4.,Active,18-08-2024
101,Model_101,LendMate,Tier 1,Yearly,Y1,2022,,CSI,0.07,<= 0.1,FALSE,15-02-2025,Model_101 is used for loan approval.,Model_101 performed above expectation for Y1 2025 with CSI of 0.07 vs threshold <= 0.1.,Active,18-08-2024
101,Model_101,LendMate,Tier 1,Yearly,Y1,2022,,PSI,0.111,<= 0.1,TRUE,15-02-2025,Model_101 is used for loan approval.,Model_101 performed below expectation for Y1 2025 with PSI of 0.111 vs threshold <= 0.1.,Active,18-08-2024
